University name,Type of university,Sponsorship,Right of promotion,Founding year,Number of students,Address,lat,lon,plz,pic
HAWK Hochschule für angewandte Wissenschaft und Kunst Holzminden,University of Applied Sciences,public,no,1971,6495,Haarmannpl. 3,51.82726,9.45069,37603 Holzminden,https://upload.wikimedia.org/wikipedia/commons/0/02/HAWK-Logo.jpg
HAWK Hochschule für angewandte Wissenschaft und Kunst Göttingen,University of Applied Sciences,public,no,1971,6495,Von-Ossietzky-Straße 99,51.52175,9.96967,37085 Göttingen,https://upload.wikimedia.org/wikipedia/commons/0/02/HAWK-Logo.jpg
Leuphana Universität Lüneburg,University,public,yes,1946,6497,Universitätsallee 1,53.228531,10.40171,21335 Lüneburg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Leuphana_Universit%C3%A4t_L%C3%BCneburg_Logo_2020.svg/2560px-Leuphana_Universit%C3%A4t_L%C3%BCneburg_Logo_2020.svg.png
Norddeutsche Hochschule für Rechtspflege – Niedersachsen,University of Administration,public,no,2007,6409,Godehardspl. 6,52.14484,9.94923,31134 Hildesheim,https://static.studycheck.de/media/images/institute_logos/small/hr-nord.jpg
Kommunale Hochschule für Verwaltung in Niedersachsen,University of Administration,public,no,2007,1570,Wielandstraße 8,52.3705,9.72239,30169 Hannover,https://www.nsi-hsvn.de/fileadmin/user_upload/02_Studium/big-hsvn_logo.png
"Carl von Ossietzky Universität Oldenburg
",University,public,yes,1973,15635,Uhlhornsweg 49-55,53.14734,8.17902,26129 Oldenburg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Carl_von_Ossietzky_Universit%C3%A4t_Oldenburg_logo.svg/1200px-Carl_von_Ossietzky_Universit%C3%A4t_Oldenburg_logo.svg.png
Hochschule Osnabrück,University of Applied Sciences,public,no,1971,13620,Albrechtstraße 30,52.28268,8.02501,49076 Osnabrück,https://login.hs-osnabrueck.de/nidp/hsos/images/hsos-logo.png
Universität Osnabrück,University,public,yes,1973,13640,Neuer Graben 29,52.27137,8.04454,49074 Osnabrück,https://www.eh-tabor.de/sites/default/files/styles/width980px/public/logo-universitaet-osnabrueck.png?itok=DmZEq9ka
"Hochschule Braunschweig/Wolfenbüttel, Ostfalia Hochschule für angewandte Wissenschaften",University of Applied Sciences,public,no,1971,11577,Salzdahlumer Str. 46/48,52.17683,10.54865,38302 Wolfenbüttel,https://www.ostfalia.de/export/system/modules/de.ostfalia.module.template/resources/images/logo/Ostfalia_German.png_230952558.png
"Hochschule Wolfsburg, Ostfalia Hochschule für angewandte Wissenschaften",University of Applied Sciences,public,no,1971,11577,Robert-Koch-Platz 8A,52.42595,10.78711,38440 Wolfsburg,https://www.ostfalia.de/export/system/modules/de.ostfalia.module.template/resources/images/logo/Ostfalia_German.png_230952558.png
"Hochschule Suderburg, Ostfalia Hochschule für angewandte Wissenschaften",University of Applied Sciences,public,no,1971,11577,Herbert-Meyer-Straße 7,52.89761,10.44659,29556 Suderburg,https://www.ostfalia.de/export/system/modules/de.ostfalia.module.template/resources/images/logo/Ostfalia_German.png_230952558.png
"Hochschule Salzgitter, Ostfalia Hochschule für angewandte Wissenschaften",University of Applied Sciences,public,no,1971,11577,Karl-Scharfenberg-Straße 55/57,52.08724,10.38055,38229 Salzgitter,https://www.ostfalia.de/export/system/modules/de.ostfalia.module.template/resources/images/logo/Ostfalia_German.png_230952558.png
"Hochschule für Künste im Sozialen, Ottersberg",University of Applied Sciences,privat,no,1967,342,Große Str. 107,53.10668,9.1631,28870 Ottersberg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Logo_HKS_Ottersberg.svg/1200px-Logo_HKS_Ottersberg.svg.png
Private Hochschule für Wirtschaft und Technik Vechta,University of Applied Sciences,privat,no,1998,558,Rombergstraße 40,52.72125,8.27891,49377 Vechta,https://www.phwt.de/wp-content/uploads/2020/09/phwt-logo-free.png
Private Hochschule für Wirtschaft und Technik Diepholz,University of Applied Sciences,privat,no,1998,558,Schlesier Str. 13A,52.61171,8.36334,49356 Diepholz,https://www.phwt.de/wp-content/uploads/2020/09/phwt-logo-free.png
Universität Vechta,University,public,yes,1995,4.551,Driverstraße 22,52.72117,8.2938,49377 Vechta,https://upload.wikimedia.org/wikipedia/commons/0/08/Logo_Uni_Vechta-neu.png
Hochschule Weserbergland,University of Applied Sciences,privat,no,2010,485,Am Stockhof 2,52.09875,9.35542,31785 Hameln,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Hochschule_Weserbergland_logo.svg/1200px-Hochschule_Weserbergland_logo.svg.png
Jade Hochschule – Wilhelmshaven,University of Applied Sciences,public,no,2009,6789,Friedrich-Paffrath-Straße 101,53.54787,8.08804,26389 Wilhelmshaven,https://www.jade-hs.de/fileadmin/layout2016/assets/jadehs-logo.png
Jade Hochschule – Oldenburg,University of Applied Sciences,public,no,2009,6789,Ofener Str. 16/19,53.14179,8.20213,26121 Oldenburg,https://www.jade-hs.de/fileadmin/layout2016/assets/jadehs-logo.png
Jade Hochschule – Elsfleth,University of Applied Sciences,public,no,2009,6789,Weserstraße 52,53.24244,8.46651,26931 Elsfleth,https://www.jade-hs.de/fileadmin/layout2016/assets/jadehs-logo.png
Steuerakademie Niedersachsen Rinteln,University of Administration,public,no,2006,500,Wilhelm-Busch-Weg 29,52.20696,9.09112,31737 Rinteln,https://www.steuerakademie.niedersachsen.de/assets/image/232/85611
Steuerakademie Niedersachsen Bad Eilsen,University of Administration,public,no,2006,500,Bahnhofstraße 5,52.23981,9.10423,31707 Bad Eilsen,https://www.steuerakademie.niedersachsen.de/assets/image/232/85611
